id	name	nTargets	hasAdverseData	max_llr	nAdverseEvents
CHEMBL1200822	FLECAINIDE ACETATE	1	TRUE	243.37920905037208	93
CHEMBL652	FLECAINIDE	1	TRUE	663.7120147325622	80
CHEMBL1086	DIBUCAINE	2	FALSE	0	0
CHEMBL1200612	DIBUCAINE HYDROCHLORIDE	2	TRUE	11.277712839913022	3
CHEMBL1404	RANOLAZINE	2	TRUE	181.0145502184714	21
CHEMBL2111112	VERNAKALANT	6	FALSE	0	0
CHEMBL2107383	VERNAKALANT HYDROCHLORIDE	6	TRUE	12.622698376561717	1
CHEMBL1075	MORICIZINE	10	FALSE	0	0
CHEMBL1195	PROPOXYCAINE	10	FALSE	0	0
CHEMBL1197	HEXYLCAINE	10	FALSE	0	0
CHEMBL1200334	MORICIZINE HYDROCHLORIDE	10	FALSE	0	0
CHEMBL1200341	INDECAINIDE HYDROCHLORIDE	10	FALSE	0	0
CHEMBL1200443	MERETHOXYLLINE PROCAINE	10	FALSE	0	0
CHEMBL1200597	ETIDOCAINE HYDROCHLORIDE	10	FALSE	0	0
CHEMBL1200715	HEXYLCAINE HYDROCHLORIDE	10	FALSE	0	0
CHEMBL1200773	TOCAINIDE HYDROCHLORIDE	10	FALSE	0	0
CHEMBL1201217	DYCLONINE	10	FALSE	0	0
CHEMBL1201242	INDECAINIDE	10	FALSE	0	0
CHEMBL1201486	QUINIDINE POLYGALACTURONATE	10	FALSE	0	0
CHEMBL1762	TOCAINIDE	10	FALSE	0	0
CHEMBL1769	PROPOXYCAINE HYDROCHLORIDE	10	FALSE	0	0
CHEMBL3184437	DICHLOROBENZYL ALCOHOL	10	FALSE	0	0
CHEMBL492	ETIDOCAINE	10	FALSE	0	0
CHEMBL944	CHLOROPROCAINE HYDROCHLORIDE	10	FALSE	0	0
CHEMBL918	PHENACEMIDE	10	TRUE	11.838476977443168	4
CHEMBL1095	ETHOTOIN	10	TRUE	14.191929725087263	3
CHEMBL1179047	CHLOROPROCAINE	10	TRUE	17.463906861546548	1
CHEMBL1087	MEPIVACAINE	10	TRUE	25.11334461487604	57
CHEMBL1200	BENOXINATE	10	TRUE	26.080679989185825	2
CHEMBL605	PROCAINAMIDE HYDROCHLORIDE	10	TRUE	27.144836286316945	6
CHEMBL1201020	DISOPYRAMIDE PHOSPHATE	10	TRUE	28.94542852254403	29
CHEMBL640	PROCAINAMIDE	10	TRUE	29.42062704366276	13
CHEMBL315985	ESLICARBAZEPINE	10	TRUE	31.675166288917698	16
CHEMBL529437	COCAINE HYDROCHLORIDE	10	TRUE	33.20254850886499	11
CHEMBL1200606	MEXILETINE HYDROCHLORIDE	10	TRUE	37.248072133869755	38
CHEMBL861	MEPHENYTOIN	10	TRUE	44.02314321978717	7
CHEMBL558	MEXILETINE	10	TRUE	52.10596088947909	48
CHEMBL1200440	MEPIVACAINE HYDROCHLORIDE	10	TRUE	61.40941025045959	81
CHEMBL1200654	BENOXINATE HYDROCHLORIDE	10	TRUE	65.95613723091142	1
CHEMBL1200478	DYCLONINE HYDROCHLORIDE	10	TRUE	70.52949990069715	23
CHEMBL1200586	PRILOCAINE HYDROCHLORIDE	10	TRUE	78.10654541634995	10
CHEMBL1077896	ROPIVACAINE	10	TRUE	78.81106517166427	72
CHEMBL3707183	QUINIDINE SULFATE	10	TRUE	78.82112638666513	30
CHEMBL744	RILUZOLE	10	TRUE	81.35635190263292	26
CHEMBL517	DISOPYRAMIDE	10	TRUE	81.41455487118992	37
CHEMBL1200437	QUINIDINE GLUCONATE	10	TRUE	91.9624162530656	5
CHEMBL1294	QUINIDINE	10	TRUE	108.54485742076828	10
CHEMBL1255654	TETRACAINE HYDROCHLORIDE	10	TRUE	121.36941764149265	18
CHEMBL1200819	ARTICAINE HYDROCHLORIDE	10	TRUE	121.47612460335132	38
CHEMBL1889140	ROPIVACAINE HYDROCHLORIDE	10	TRUE	136.3068231505331	106
CHEMBL1093	ARTICAINE	10	TRUE	142.24767715149028	38
CHEMBL1242	PHENAZOPYRIDINE	10	TRUE	164.8770410400673	24
CHEMBL1201336	FOSPHENYTOIN	10	TRUE	174.54263724846714	84
CHEMBL919	FOSPHENYTOIN SODIUM	10	TRUE	178.15936061177945	83
CHEMBL1201022	PHENAZOPYRIDINE HYDROCHLORIDE	10	TRUE	178.31141688699995	21
CHEMBL1201754	RUFINAMIDE	10	TRUE	199.71486659276343	54
CHEMBL569	PROCAINE	10	TRUE	224.00787282620877	7
CHEMBL1200841	PROCAINE HYDROCHLORIDE	10	TRUE	224.78866576421456	7
CHEMBL1196	PROPARACAINE	10	TRUE	246.145966805218	36
CHEMBL1200464	PROPARACAINE HYDROCHLORIDE	10	TRUE	269.42855341588483	47
CHEMBL750	ZONISAMIDE	10	TRUE	277.73235453552843	43
CHEMBL698	TETRACAINE	10	TRUE	409.96050515222305	46
CHEMBL87992	ESLICARBAZEPINE ACETATE	10	TRUE	463.331640521229	28
CHEMBL1194	PRILOCAINE	10	TRUE	482.140057749144	42
CHEMBL79	LIDOCAINE	10	TRUE	553.3381527982201	29
CHEMBL1200409	LIDOCAINE HYDROCHLORIDE	10	TRUE	669.9816563759523	32
CHEMBL108	CARBAMAZEPINE	10	TRUE	1258.5267472811538	37
CHEMBL1068	OXCARBAZEPINE	10	TRUE	1341.2139331116996	23
CHEMBL1611	PHENYTOIN SODIUM	10	TRUE	1726.6063590132435	27
CHEMBL741	LAMOTRIGINE	10	TRUE	2088.099382517452	24
CHEMBL16	PHENYTOIN	10	TRUE	2391.9373708554485	35
CHEMBL58323	LACOSAMIDE	10	TRUE	2394.045335783143	25
CHEMBL370805	COCAINE	10	TRUE	2775.871733593194	83
CHEMBL631	PROPAFENONE	12	TRUE	329.13358266297746	80
CHEMBL1201063	PROPAFENONE HYDROCHLORIDE	12	TRUE	412.1815907288528	66
CHEMBL184412	DRONEDARONE	16	TRUE	1182.3686498152929	33
CHEMBL1201729	DRONEDARONE HYDROCHLORIDE	16	TRUE	1198.962344970012	33
CHEMBL2107771	RALFINAMIDE	19	FALSE	0	0
CHEMBL900	ORPHENADRINE	19	TRUE	61.20441941916283	73
CHEMBL1201023	ORPHENADRINE HYDROCHLORIDE	19	TRUE	80.02102112594412	112
CHEMBL1200395	ORPHENADRINE CITRATE	19	TRUE	81.68587266055852	6
CHEMBL856	PRIMIDONE	26	TRUE	115.50680190749335	75
CHEMBL3989949	CENOBAMATE	26	TRUE	181.49023415760257	39
CHEMBL220492	TOPIRAMATE	37	TRUE	1844.8762512925312	34
