id	name	nTargets	hasAdverseData	max_llr	nAdverseEvents
CHEMBL3786343	OLMUTINIB	1	FALSE	0	0
CHEMBL4650319	MOBOCERTINIB	1	FALSE	0	0
CHEMBL4802239	MOBOCERTINIB SUCCINATE	1	FALSE	0	0
CHEMBL1743047	NECITUMUMAB	1	TRUE	32.67119203233494	6
CHEMBL939	GEFITINIB	1	TRUE	1135.248216394426	25
CHEMBL1201577	CETUXIMAB	1	TRUE	1360.87834016775	21
CHEMBL1079742	ERLOTINIB HYDROCHLORIDE	1	TRUE	1452.3053936535143	18
CHEMBL553	ERLOTINIB	1	TRUE	1457.1887872630614	18
CHEMBL3353410	OSIMERTINIB	1	TRUE	1705.6134539629966	33
CHEMBL3545063	OSIMERTINIB MESYLATE	1	TRUE	1714.0464462952004	33
CHEMBL1201827	PANITUMUMAB	1	TRUE	2191.7053517634413	42
CHEMBL4297774	AMIVANTAMAB	2	TRUE	57.60674608353929	1
CHEMBL3545311	BRIGATINIB	2	TRUE	259.45907066368363	21
CHEMBL554	LAPATINIB	2	TRUE	1610.4847534980072	32
CHEMBL1201179	LAPATINIB DITOSYLATE	2	TRUE	1628.7281294011557	34
CHEMBL2110732	DACOMITINIB ANHYDROUS	3	TRUE	13.167286356414984	1
CHEMBL2105719	DACOMITINIB	3	TRUE	31.23178607529246	12
CHEMBL3989921	NERATINIB MALEATE	3	TRUE	1505.323178345615	31
CHEMBL180022	NERATINIB	3	TRUE	1505.323178345615	32
CHEMBL2105712	AFATINIB DIMALEATE	3	TRUE	3524.1317827402345	33
CHEMBL1173655	AFATINIB	3	TRUE	3531.003077159472	31
CHEMBL24828	VANDETANIB	25	TRUE	179.6613729321016	45
